epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,886.822,1.10681,0.9997,1.07155,0.74695,0.64939,0.68146,0.50064,0.93572,0.74195,0.98835,0.000255835,0.000255835,0.000255835
2,1815.65,1.0623,0.76549,1.058,0.91811,0.57584,0.68981,0.52128,0.86326,0.62594,0.94674,0.000473164,0.000473164,0.000473164
3,2722.07,1.03904,0.71563,1.04708,0.75593,0.65042,0.68002,0.52805,0.86153,0.70491,0.95795,0.000651453,0.000651453,0.000651453
4,3613.47,1.03653,0.6743,1.04321,0.78929,0.63899,0.69693,0.53166,0.88457,0.59934,0.97657,0.000593313,0.000593313,0.000593313
5,4531.75,0.99627,0.62269,1.02749,0.76609,0.71237,0.72054,0.57856,0.77702,0.541,0.9249,0.000534751,0.000534751,0.000534751
6,5465.89,0.95359,0.58315,1.00775,0.67915,0.67846,0.68728,0.5271,0.81778,0.54624,0.92999,0.000476188,0.000476188,0.000476188
7,6463.97,0.92688,0.55515,0.99072,0.76739,0.69611,0.74212,0.59503,0.77146,0.48299,0.91259,0.000417626,0.000417626,0.000417626
8,7461.23,0.89141,0.52521,0.97775,0.84598,0.7671,0.82972,0.66992,0.74856,0.46295,0.90854,0.000359064,0.000359064,0.000359064
9,8386.24,0.86663,0.5086,0.97118,0.74812,0.78453,0.78182,0.64841,0.7341,0.45839,0.90531,0.000300502,0.000300502,0.000300502
10,9254.78,0.8428,0.48335,0.95858,0.78033,0.74223,0.78523,0.66294,0.70768,0.41093,0.89299,0.000241939,0.000241939,0.000241939
11,10183.1,0.81766,0.46019,0.94965,0.81579,0.80574,0.83389,0.69778,0.70372,0.40648,0.89301,0.000183377,0.000183377,0.000183377
12,11077.9,0.79383,0.44052,0.93892,0.83714,0.83038,0.83162,0.70483,0.68871,0.39522,0.88848,0.000124815,0.000124815,0.000124815
13,12017.7,0.77005,0.41871,0.92964,0.85485,0.7535,0.81544,0.70015,0.66955,0.37858,0.88282,6.62523e-05,6.62523e-05,6.62523e-05
